adj,subl,type,effect,前置定语修饰,比较级,最高级,sentence
short,,前置定语,"尺寸短小,身材矮,时间短暂","人,事物,动物",,,the man was a short boy twenty years ago
short,"人,事物,动物",表语,,,,,the rope is too short
sick,,前置定语,病的,"人,动物",,,
sick,"人,动物",表语,,,,,the student was very sick last night
sick,"人,动物",表语,get sick,,,,she  got sick last night
sick,"人,动物",表语,be sick of,,,,i am sick of the comments online
sick,"人,动物",表语,感到恶心,,,,feel sick
slow,,前置定语,慢的,"人,事物,动物",,,"she is a slow english learner | actually,learning english is a slow and lonely process"
slow,"人,事物,动物",表语,反义词fast,,,,the donkey is slow
small,,前置定语,小的,"人,事物,动物",,,small bowl
small,"人,事物,动物",表语,,,,,their eyes are small
sorry,人,表语,"对不起,难过的",,,,
sorry,人,表语,be sorry for 为。。感到抱歉 难过,,,,"i feel sorry for her, for 后面也可以+动名词"
sorry,人,表语,be sorry + 动词不定式,,,,
south,,前置定语,south climate,"人,事物,动物",,,i have been to serveral south provinces
strong,,,"强壮的,坚强的,强烈的,强大的","人,事物,动物",,,
strong,"人,事物,动物",,,,,,i want to xxx and make myself strong(宾补)
sure,,表语,be sure about = be sure of,人,,,my teacher was not sure juest now
sure,,表语, be sure to 务必做某件事情,,,,be sure to five your family my best wishes
sweet,,前置定语,,事物,,,"sweet tea,sweet wine,sweet food"
sweet,事物,表语,甜的,,,,sugar canes are sweet
tall,,前置定语,"身高,高","事物,建筑物,人,动物",,,
tall,"人,动物",表语,,,,,these foreigners are so tall
terrible,,前置定语,"disease,war,accident,dream","事物,动物",,,it is a terrible hurricane
terrible,"事物,动物",表语,"earthquake,storm",,,,
thin,,前置定语,"瘦的,薄的","人,动物",,,"thin girl,thin model"
thin,"人,动物",表语,,,,,the pancake is thin
thirsty,,前置定语,口渴,"人,动物",,,it is a thirsty crow
thirsty,"人,动物",表语,,,,,are you thirsty?
tired,,前置定语,疲劳的,"人,动物",,,tired passengers
tired,"人,动物",表语,,,,,
tiring,,前置定语,"令人疲倦的,累人的",事物,,,tiring day today
tiring,事物,表语,,,,,
TRUE,,前置定语,"真的,真实的","人,动物,事物",,,"true story,true friend"
TRUE,"人,动物,事物",表语,同义词real(非赝品),,,,history is true
userful,,前置定语,反义词useless,"人,动物,事物",,,useful information
userful,"人,动物,事物",表语,有用的,,,,old cellphones are useful
usual,,前置定语,"通常的,平常的",抽象概念,,,usual bad habit
usual,抽象概念,表语,更多做副词,,,,
warm,,前置定语,温暖的,"人,动物,事物",,,"warm house,warm girl"
warm,"人,动物,事物",表语,,,,,warm and dry
weak,,前置定语,身体和心理的差/弱,"人,动物",,,"weak heart,weak girl,weak currency"
weak,"人,动物",表语,,,,,weak and sick
wet,,前置定语,,"人,动物,事物",,,"wet weather,wet place,wet towel"
wet,"人,动物,事物",表语,,,,,it is wet everywhere
west,,前置定语,,"地点,方位",,,"west coast,west culture,west films"
white,,表语,,"人,动物,事物",,,she desires to wear a white wedding dress
