singular,plural,sentence,effect,grammar,dobj,iobjdobj,pobj,type,
baby,,his baby was looked after by his mother,主语,"svo,subl + Link verb + predicative, there be + subl,npsubj",,,,,
baby,,his secretary looked after the baby last night,宾语,,"hold,look after,kiss,like,love,have,want,discover,find",,,,
baby,,xx is the xxxest  among these babys,介词宾语,,,,"on,behind, about,near,with,without,among,beside,between,above ",,
bag,bags,where is your bag特殊疑问句,主语,"subl + Link verb + predicative, there be + subl,npsubj",,,,,
bag,bags,pick the bag,宾语,,"need,make,take,buy,get,pick,order,gather,use",,,,
bag,bags,,介词宾语,,,,"in,on,with,inside,under,beside,near,behind,above,around",,
bag,bags,a bag of ,量词,,,,,,
bakery,,his bakery will be cleaned by his mother,主语,"subl + Link verb + predicative, there be + subl,npsubj",,,,,
bakery,,run 做及物动词代表经营,宾语,,"own,clean,run,leave,rent,need,rob,describe",,,,
bakery,,,介词宾语,,,,"in,near,behind,before,In front of,inside,between,around",,
ball,,"偶尔会svo, the ball fell into the hole",主语,"subl + Link verb + predicative, there be + subl,npsubj",,,,,
ball,,i have three balls,宾语,,own clean throw put rent need catch hit kick,,,,
ball,,football baseball,球类,,,,,,
banana,,bananas are yellow and sweet,主语,"subl + Link verb + predicative, there be + subl,npsubj",,,,,
banana,,the cook used a special way to bake bananas,宾语,,pick bring buy eat like bake fry sell cut choose,,,,
banana,,"the book about bananas is interesting,they fought for bananas",介词宾语,,,,on about in with like among near between without,,
band,,this band is popular and famous,主语,"subl + Link verb + predicative, there be + subl,npsubj",,,,,
band,,the boss owns three bands,宾语,,"like,hate,join,introduce,own,support,help,meet,threaten,look for",,,,
band,,,介词宾语,,,,with without for about from between of among,,
bank,,there several banks near our school,主语,"subl + Link verb + predicative, there be + subl,npsubj",,,,,
bank,,i will establish a small bank in the future,宾语,,"build,rob,manage,know,run,discuss,clean,buy,establish,own,leave,help,see,pass by",,,,
bank,,i hate going to the bank,介词宾语,,,,"in,near,inside,between,behind,In front of,beside,to,among",,
baseball,,作为运动 不能加冠词/限定词,主语,"subl + Link verb + predicative, there be + subl,npsubj",,,,运动,
baseball,,作为运动 不能加冠词/限定词,宾语,,,,,运动,
baseball,,作为运动 不能加冠词/限定词,介词宾语,,,,,运动,
baseball,,,主语,,,,,球,
baseball,,,宾语,,,,,球,
baseball,,,介词宾语,,,,,球,
basket,,this beautiful basket was made by my wife,主语,"subl + Link verb + predicative, there be + subl,npsubj",,,,,
basket,,my grandpa made a big basket last year,宾语,,Make pick bring hold borrow design break buy take Want sell burn brush,,,,
basket,,i put some yard long beans in the basket,介词宾语,,,,"in,oN,beside, under, for,inside , with,without,around between,",,
baseball,,my son plays basketball,主语,"subl + Link verb + predicative, there be + subl,npsubj",,,,运动,
baseball,,作为运动 不能加冠词/限定词,宾语,,,,,运动,
baseball,,作为运动 不能加冠词/限定词,介词宾语,,,,,运动,
baseball,,my son plays a basketball,主语,,,,,球,
baseball,,,宾语,,,,,球,
baseball,,,介词宾语,,,,,球,
bathroom,,"where is the luxurious bathroom, his bathroom is locked every day",主语,"subl + Link verb + predicative, there be + subl,npsubj",,,,,
bathroom,,he decorated his bathroom last year,宾语,,"tidy,wash,Afford,design,decorate,offer,enter,lock,,look  for,paint",,,,
bathroom,,,介词宾语,,,,"in,near,inside,between,beside,under,without",,
beach,,the beach in beihai is very beautiful,主语,"subl + Link verb + predicative, there be + subl,npsubj",,,,,
beach,,we will leave the beach in an hour and go to next destination,宾语,,"reach,know,build,buy,leave,rent,find,see,like,discover",,,,
beach,,the children are picking shells on the beach,介词宾语,,,,"by,on,near,from,for,around,beside,like,across",,
bear,,a bear was killed in the forest and its paws were cut,主语,"svo,subl + Link verb + predicative, there be + subl,npsubj",,,,,
bear,,the hunters killed a bear in the forest,宾语,,"see/touch,catch,want,kill,look,for,find,Save,look after,hurt,kick",,,,
