verb,T,延续性,subl,effect,dobj,tense,transformation,权重,短语,iobj,宾补
breathe,0,1,"人,动物",呼吸,,"现在进行,一般现在,一般过去,一般将来,现在完成","breathed,breathed,breathing,breathes",,,,
breathe,1,,"人,动物",呼吸,air,,,,,,
bring,1,0,"人,动物",反义词take,,"现在进行,一般现在,一般过去,一般将来,现在完成","brought,brought,bringing,brings",,bring sth/sb from,,
bring,1,0,"人,动物",双宾动词,,,,,"bring sth to sb,bring sb  sth",,
brush,1,1,人,,"物品,mats,cooker,shoes","现在进行,一般现在,一般过去,一般将来,现在完成",,,he has brushed his teeth for 3 minutes,,
burn,1,1,,,"letter,straw,wood,grass,ship","一般现在,一般过去,一般将来,现在完成","burned,burnt,burning,burns",,,,
buy,1,0,,,,"一般现在,一般过去,一般将来,现在完成","bought,bought,buying,buys",,,,
buy,1,0,,双宾动词,sth,,,,"buy sb sth,buy sth for sb",sb,
call,1,0,人,称呼,,"一般现在,一般过去,一般将来,现在完成","called,called,calling,calls",,call sb + 人名,,名词
call,1,0,,打电话 不需要宾补了,,,"called,called,calling,calls",,call sb,,
call,1,0,,叫某人做某事 + 动词不定式,,"一般现在,一般过去,一般将来,现在完成","called,called,calling,calls",,call sb to do sth,,动词不定式
catch,1,0,,"抓住,强调结果","人,动物","一般现在,一般过去,一般将来,现在完成","caught,caught,catching,catches",,,,
catch,1,0,,接住,物品,"一般现在,一般过去,一般将来,现在完成","caught,caught,catching,catches",,,,
catch,1,0,,"赶上,强调结果",交通工具,"一般现在,一般过去,一般将来,现在完成","caught,caught,catching,catches",,,,
chat,1,1,人,"聊天,闲聊",,"现在进行,一般现在,一般过去,一般将来,现在完成","chatted,chatted,chatting,chats",,chat with sb,,
clean,1,1,,弄干净,"事物,场所","现在进行,一般现在,一般过去,一般将来,现在完成","cleaned,cleaned,cleaning,cleans",,,,
climb,1,1,,"攀爬,登","hill,mountain,tree,wall","现在进行,一般现在,一般过去,一般将来,现在完成","climbed,climbed,climbing,climbs",,we climbed the mountain last month,,
climb,0,1,人,攀爬,,,,,,,
comb,1,1,,梳理,hair不可数,"现在进行,一般现在,一般过去,一般将来,现在完成","combed,combed,combing,combs",,只能梳头发,,
come,0,0,"人,动物,暴风雨,新时代,洪水",来,,"一般现在,一般过去,一般将来,现在完成","came,come,coming,comes",,介词短语/地点副词作地点状语,,
cook,1,1,,烹调 煮饭,"breakfast,lunch,supper,dinner,fish,meat,duck,noodles,egg","现在进行,一般现在,一般过去,一般将来,现在完成",,,,,
cook,0,1,人,做饭,,,,,跟状语,,
copy,1,0,,"抄写,复印,复制","file,homework,contract,idea","现在进行,一般现在,一般过去,一般将来,现在完成","copied,copied,copying,copies",,copying my reading materials,,
correct,1,0,,"纠正,改正","mistake,error","现在进行,一般现在,一般过去,一般将来,现在完成","corrected,corrected,correcting,corrects",,,,
correct,1,0,,批改作业 必须老师,,,,,i spent all evening correcting essays,,
correct,1,0,,指出某人的错误,人,,,,跟条件状语,,
cough,0,1,人,咳嗽,,"现在进行,一般现在,一般过去,一般将来,现在完成","coughed,coughed,coughing,coughs",,"the manager has coughed for an hour,the old man is coughing terribly",,
